"","root_name","d","k"
"146","LAT",5,3.37384134213977e-05
"147","LAT",5,3.38553435633812e-05
"148","LAT",10,2.70088689435874e-05
"149","LAT",10,2.70477278620858e-05
"150","LAT",6,3.1060114524027e-05
"151","LAT",6,3.10952887457002e-05
"152","LAT",7,3.10720600652087e-05
"153","LAT",7,3.11422236172014e-05
"154","LAT",8,2.70277480272652e-05
"155","LAT",8,2.69942290768678e-05
"156","LAT",9,2.69550004403623e-05
"157","LAT",9,2.69362307497036e-05
"158","LAT_A",0.5,0.000118146940327622
"159","LAT_A",0.5,0.000118148876799858
"160","LAT_A",0.75,0.00011792701216631
"161","LAT_A",0.75,0.000117526599716518
"162","LAT_A",1.25,0.000118057813935744
"163","LAT_A",1.25,0.000117969021122224
"164","LAT_A",1.5,0.000117608854229518
"165","LAT_A",1.5,0.000117838713115501
"166","LAT_A",1.75,0.00011786302425248
"167","LAT_A",1.75,0.000117744337017377
"168","LAT_A",1,0.000117568642918846
"169","LAT_A",1,0.000117628720182491
"170","LAT_A",2,0.000117909522115741
"171","LAT_A",2,0.000117364203249633
"172","LAT_A",3,0.000117305916721759
"173","LAT_A",3,0.000117970016060323
"174","LAT_A",4,0.000117906026621655
"175","LAT_A",4,0.000117941854460229
"176","LAT_A",5,3.7474504078584e-05
"177","LAT_A",5,3.74882066664242e-05
"178","LAT_A",6,3.74496602864277e-05
"179","LAT_A",6,3.75139803779636e-05
"180","LAT_A",10,3.4367708808106e-05
"181","LAT_A",10,3.44287571530767e-05
"182","LAT_A",11,3.43926465373301e-05
"183","LAT_A",11,3.43259295613999e-05
"184","LAT_A",12,3.43955668690613e-05
"185","LAT_A",12,3.44322845844329e-05
"186","LAT_A",13,3.44212406841866e-05
"187","LAT_A",13,3.43651257325916e-05
"188","LAT_A",14,3.4303034878759e-05
"189","LAT_A",14,3.44383970797799e-05
"190","LAT_A",15,3.44183990629194e-05
"191","LAT_A",15,3.4308827228499e-05
"192","LAT_A",7,3.43958076395968e-05
"193","LAT_A",7,3.43494184220653e-05
"194","LAT_A",8,3.436608352008e-05
"195","LAT_A",8,3.43018208152717e-05
"196","LAT_A",9,3.43777890148351e-05
"197","LAT_A",9,3.42952442044945e-05
